date,new_confirmed,new_deaths,estimated_population_2019
2020-02-25,1,0,12252023.0
2020-02-26,0,0,12252023.0
2020-02-27,0,0,12252023.0
2020-02-28,1,0,12252023.0
2020-02-29,0,0,12252023.0
2020-03-01,0,0,12252023.0
2020-03-02,0,0,12252023.0
2020-03-03,0,0,12252023.0
2020-03-04,1,0,12252023.0
2020-03-05,4,0,12436435.0
2020-03-06,2,0,19770210.0
2020-03-07,9,0,22924925.0
2020-03-08,6,0,24182103.0
2020-03-09,0,0,24182103.0
2020-03-10,4,0,24248815.0
2020-03-11,14,0,25732586.0
2020-03-12,45,0,34013069.0
2020-03-13,7,0,39658645.0
2020-03-14,37,0,42275075.0
2020-03-15,19,0,42308525.0
2020-03-16,121,0,50297565.0
2020-03-17,46,1,54860557.0
2020-03-18,186,2,63117482.0
2020-03-19,128,4,66985534.0
2020-03-20,234,4,73040321.0
2020-03-21,207,1,76401725.0
2020-03-22,199,0,78339403.0
2020-03-23,250,1,84100125.0
2020-03-24,259,3,86591160.0
2020-03-25,743,43,90464009.0
2020-03-26,425,17,93376663.0
2020-03-27,487,16,96655873.0
2020-03-28,297,6,99815467.0
2020-03-29,309,8,102121843.0
2020-03-30,583,59,106010758.0
2020-03-31,1158,36,110776417.0
2020-04-01,1097,43,114942785.0
2020-04-02,1176,50,118969745.0
2020-04-03,1108,83,122656762.0
2020-04-04,1116,80,124730515.0
2020-04-05,1097,54,126649362.0
2020-04-06,837,75,129541272.0
2020-04-07,1823,121,133076558.0
2020-04-08,2157,136,135924597.0
2020-04-09,1912,133,137765355.0
2020-04-10,1763,115,140077126.0
2020-04-11,1081,68,141718045.0
2020-04-12,1474,96,143029620.0
2020-04-13,1405,112,144585637.0
2020-04-14,1927,212,146602050.0
2020-04-15,3235,203,149287275.0
2020-04-16,2142,195,151023067.0
2020-04-17,3292,224,152787596.0
2020-04-18,2761,203,154507568.0
2020-04-19,1893,116,156160441.0
2020-04-20,1859,109,157645744.0
2020-04-21,2792,174,158784512.0
2020-04-22,2769,169,160010403.0
2020-04-23,3883,410,161689521.0
2020-04-24,3541,373,163885223.0
2020-04-25,5125,361,165152880.0
2020-04-26,4905,230,166737254.0
2020-04-27,4231,313,167815361.0
2020-04-28,6240,485,170176517.0
2020-04-29,6130,442,171655148.0
2020-04-30,7417,448,173050046.0
2020-05-01,5776,457,174237909.0
2020-05-02,4861,370,175748576.0
2020-05-03,4394,266,176650097.0
2020-05-04,6924,311,177804521.0
2020-05-05,7251,533,179039840.0
2020-05-06,9890,568,180203128.0
2020-05-07,10834,796,181413066.0
2020-05-08,9759,681,182824813.0
2020-05-09,10868,758,183890261.0
2020-05-10,6419,478,184711363.0
2020-05-11,6323,489,185547001.0
2020-05-12,9624,848,186501417.0
2020-05-13,11656,780,187618535.0
2020-05-14,14114,797,188839313.0
2020-05-15,15220,915,190248193.0
2020-05-16,14127,718,190889519.0
2020-05-17,7844,505,191262813.0
2020-05-18,14208,720,191967413.0
2020-05-19,13266,993,192829511.0
2020-05-20,21442,1149,193714944.0
2020-05-21,19283,1057,194466279.0
2020-05-22,22050,1046,195340166.0
2020-05-23,17908,1048,196312593.0
2020-05-24,14602,667,196776483.0
2020-05-25,15147,760,197077276.0
2020-05-26,18825,1082,197750920.0
2020-05-27,19850,1059,198248309.0
2020-05-28,28726,1180,198852178.0
2020-05-29,26795,1146,199855498.0
2020-05-30,32586,898,200496382.0
2020-05-31,13184,474,200775860.0
2020-06-01,15095,746,201011144.0
2020-06-02,32072,1370,201415708.0
2020-06-03,25762,1203,201726882.0
2020-06-04,31185,1469,202140090.0
2020-06-05,38979,1286,202804855.0
2020-06-06,24467,821,203112363.0
2020-06-07,18429,501,203463501.0
2020-06-08,16348,813,203585564.0
2020-06-09,31232,1221,203930459.0
2020-06-10,33097,1230,204337202.0
2020-06-11,29565,1245,204566836.0
2020-06-12,25369,921,204673314.0
2020-06-13,20612,840,204835101.0
2020-06-14,17824,650,205014827.0
2020-06-15,24268,730,205144417.0
2020-06-16,37149,1387,205400100.0
2020-06-17,29306,1140,205620282.0
2020-06-18,24578,1283,205907574.0
2020-06-19,48856,1141,206116014.0
2020-06-20,33623,1004,206339293.0
2020-06-21,14276,535,206444966.0
