state,new_confirmed,new_deaths,date
SP,1,0,2020-02-25
SP,0,0,2020-02-26
SP,0,0,2020-02-27
SP,1,0,2020-02-28
SP,0,0,2020-02-29
SP,0,0,2020-03-01
SP,0,0,2020-03-02
SP,0,0,2020-03-03
SP,1,0,2020-03-04
RJ,1,0,2020-03-05
SP,3,0,2020-03-05
BA,1,0,2020-03-06
RJ,1,0,2020-03-06
SP,0,0,2020-03-06
BA,1,0,2020-03-07
DF,1,0,2020-03-07
RJ,0,0,2020-03-07
SP,7,0,2020-03-07
AL,1,0,2020-03-08
BA,0,0,2020-03-08
DF,0,0,2020-03-08
MG,1,0,2020-03-08
RJ,1,0,2020-03-08
SP,3,0,2020-03-08
AL,0,0,2020-03-09
BA,0,0,2020-03-09
DF,0,0,2020-03-09
MG,0,0,2020-03-09
RJ,0,0,2020-03-09
SP,0,0,2020-03-09
AL,0,0,2020-03-10
BA,0,0,2020-03-10
DF,0,0,2020-03-10
MG,0,0,2020-03-10
RJ,0,0,2020-03-10
RS,1,0,2020-03-10
SP,3,0,2020-03-10
AL,0,0,2020-03-11
BA,1,0,2020-03-11
DF,1,0,2020-03-11
MG,0,0,2020-03-11
RJ,0,0,2020-03-11
RS,1,0,2020-03-11
SP,11,0,2020-03-11
AL,0,0,2020-03-12
BA,0,0,2020-03-12
DF,0,0,2020-03-12
GO,3,0,2020-03-12
MG,1,0,2020-03-12
PE,2,0,2020-03-12
PR,6,0,2020-03-12
RJ,12,0,2020-03-12
RN,1,0,2020-03-12
RS,2,0,2020-03-12
SC,2,0,2020-03-12
SP,16,0,2020-03-12
AL,0,0,2020-03-13
AM,2,0,2020-03-13
BA,4,0,2020-03-13
DF,0,0,2020-03-13
GO,0,0,2020-03-13
MG,0,0,2020-03-13
PE,0,0,2020-03-13
PR,0,0,2020-03-13
RJ,0,0,2020-03-13
RN,0,0,2020-03-13
RS,0,0,2020-03-13
SC,1,0,2020-03-13
SP,0,0,2020-03-13
AL,0,0,2020-03-14
AM,0,0,2020-03-14
BA,0,0,2020-03-14
DF,6,0,2020-03-14
GO,1,0,2020-03-14
MG,2,0,2020-03-14
MS,2,0,2020-03-14
PE,4,0,2020-03-14
PR,0,0,2020-03-14
RJ,0,0,2020-03-14
RN,0,0,2020-03-14
RS,0,0,2020-03-14
SC,2,0,2020-03-14
SE,1,0,2020-03-14
SP,19,0,2020-03-14
AL,0,0,2020-03-15
AM,0,0,2020-03-15
BA,2,0,2020-03-15
DF,6,0,2020-03-15
GO,0,0,2020-03-15
MG,0,0,2020-03-15
MS,0,0,2020-03-15
PE,1,0,2020-03-15
PR,0,0,2020-03-15
RJ,9,0,2020-03-15
RN,0,0,2020-03-15
RS,0,0,2020-03-15
SC,1,0,2020-03-15
SE,0,0,2020-03-15
SP,0,0,2020-03-15
AL,0,0,2020-03-16
AM,0,0,2020-03-16
BA,1,0,2020-03-16
CE,9,0,2020-03-16
DF,5,0,2020-03-16
GO,5,0,2020-03-16
MG,2,0,2020-03-16
MS,2,0,2020-03-16
PE,0,0,2020-03-16
PR,0,0,2020-03-16
RJ,1,0,2020-03-16
RN,0,0,2020-03-16
RS,4,0,2020-03-16
SC,1,0,2020-03-16
SE,4,0,2020-03-16
SP,87,0,2020-03-16
AC,3,0,2020-03-17
AL,0,0,2020-03-17
AM,0,0,2020-03-17
BA,4,0,2020-03-17
CE,1,0,2020-03-17
DF,0,0,2020-03-17
GO,1,0,2020-03-17
MG,8,0,2020-03-17
MS,2,0,2020-03-17
PE,9,0,2020-03-17
PR,6,0,2020-03-17
RJ,0,0,2020-03-17
RN,0,0,2020-03-17
RS,0,0,2020-03-17
SC,0,0,2020-03-17
SE,0,0,2020-03-17
SP,12,1,2020-03-17
AC,0,0,2020-03-18
AL,0,0,2020-03-18
AM,0,0,2020-03-18
BA,13,0,2020-03-18
CE,9,0,2020-03-18
DF,15,0,2020-03-18
GO,2,0,2020-03-18
MG,5,0,2020-03-18
MS,1,0,2020-03-18
PA,1,0,2020-03-18
PB,1,0,2020-03-18
PE,1,0,2020-03-18
PR,3,0,2020-03-18
RJ,38,0,2020-03-18
RN,0,0,2020-03-18
RS,11,0,2020-03-18
SC,7,0,2020-03-18
SE,1,0,2020-03-18
SP,77,2,2020-03-18
TO,1,0,2020-03-18
AC,1,0,2020-03-19
AL,3,0,2020-03-19
AM,1,0,2020-03-19
BA,4,0,2020-03-19
CE,0,0,2020-03-19
DF,8,0,2020-03-19
ES,13,0,2020-03-19
GO,2,0,2020-03-19
MG,10,0,2020-03-19
MS,2,0,2020-03-19
PA,0,0,2020-03-19
PB,0,0,2020-03-19
PE,0,0,2020-03-19
PI,3,0,2020-03-19
PR,9,0,2020-03-19
RJ,3,2,2020-03-19
RN,0,0,2020-03-19
RS,12,0,2020-03-19
SC,7,0,2020-03-19
SE,0,0,2020-03-19
SP,50,2,2020-03-19
TO,0,0,2020-03-19
AC,3,0,2020-03-20
AL,2,0,2020-03-20
AM,4,0,2020-03-20
AP,1,0,2020-03-20
BA,3,0,2020-03-20
CE,48,0,2020-03-20
DF,45,0,2020-03-20
ES,3,0,2020-03-20
GO,3,0,2020-03-20
MA,1,0,2020-03-20
MG,10,0,2020-03-20
MS,3,0,2020-03-20
MT,1,0,2020-03-20
PA,1,0,2020-03-20
PB,0,0,2020-03-20
PE,0,0,2020-03-20
PI,1,0,2020-03-20
PR,13,0,2020-03-20
RJ,0,0,2020-03-20
RN,5,0,2020-03-20
RO,1,0,2020-03-20
RS,12,0,2020-03-20
SC,18,0,2020-03-20
SE,1,0,2020-03-20
SP,55,4,2020-03-20
TO,0,0,2020-03-20
AC,4,0,2020-03-21
AL,1,0,2020-03-21
AM,4,0,2020-03-21
AP,0,0,2020-03-21
BA,7,0,2020-03-21
CE,16,0,2020-03-21
DF,21,0,2020-03-21
ES,10,0,2020-03-21
GO,0,0,2020-03-21
MA,1,0,2020-03-21
MG,15,0,2020-03-21
MS,4,0,2020-03-21
MT,0,0,2020-03-21
PA,0,0,2020-03-21
PB,0,0,2020-03-21
PE,13,0,2020-03-21
PI,0,0,2020-03-21
PR,7,0,2020-03-21
RJ,49,1,2020-03-21
RN,3,0,2020-03-21
RO,2,0,2020-03-21
RR,2,0,2020-03-21
RS,26,0,2020-03-21
SC,18,0,2020-03-21
SE,3,0,2020-03-21
SP,0,0,2020-03-21
TO,1,0,2020-03-21
AC,0,0,2020-03-22
AL,0,0,2020-03-22
AM,15,0,2020-03-22
AP,0,0,2020-03-22
BA,14,0,2020-03-22
CE,41,0,2020-03-22
DF,9,0,2020-03-22
ES,0,0,2020-03-22
GO,5,0,2020-03-22
MA,0,0,2020-03-22
MG,0,0,2020-03-22
MS,5,0,2020-03-22
MT,0,0,2020-03-22
PA,2,0,2020-03-22
PB,0,0,2020-03-22
PE,4,0,2020-03-22
PI,2,0,2020-03-22
PR,7,0,2020-03-22
RJ,69,0,2020-03-22
RN,4,0,2020-03-22
RO,0,0,2020-03-22
RR,0,0,2020-03-22
RS,8,0,2020-03-22
SC,11,0,2020-03-22
SE,0,0,2020-03-22
SP,0,0,2020-03-22
TO,3,0,2020-03-22
AC,6,0,2020-03-23
AL,1,0,2020-03-23
AM,6,0,2020-03-23
AP,0,0,2020-03-23
BA,8,0,2020-03-23
CE,38,0,2020-03-23
DF,21,0,2020-03-23
ES,7,0,2020-03-23
GO,2,0,2020-03-23
MA,6,0,2020-03-23
MG,49,0,2020-03-23
MS,0,0,2020-03-23
MT,5,0,2020-03-23
PA,1,0,2020-03-23
PB,1,0,2020-03-23
PE,5,0,2020-03-23
PI,0,0,2020-03-23
PR,6,0,2020-03-23
RJ,47,1,2020-03-23
RN,0,0,2020-03-23
RO,0,0,2020-03-23
RR,0,0,2020-03-23
RS,21,0,2020-03-23
SC,18,0,2020-03-23
SE,0,0,2020-03-23
SP,0,0,2020-03-23
TO,2,0,2020-03-23
AC,4,0,2020-03-24
AL,2,0,2020-03-24
AM,15,1,2020-03-24
AP,0,0,2020-03-24
BA,13,0,2020-03-24
CE,21,0,2020-03-24
DF,23,0,2020-03-24
ES,6,0,2020-03-24
GO,6,0,2020-03-24
MA,0,0,2020-03-24
MG,28,0,2020-03-24
MS,3,0,2020-03-24
MT,1,0,2020-03-24
PA,0,0,2020-03-24
PB,1,0,2020-03-24
PE,0,0,2020-03-24
PI,2,0,2020-03-24
PR,9,0,2020-03-24
RJ,72,2,2020-03-24
RN,1,0,2020-03-24
RO,2,0,2020-03-24
RR,6,0,2020-03-24
RS,16,0,2020-03-24
SC,23,0,2020-03-24
SE,5,0,2020-03-24
SP,0,0,2020-03-24
TO,0,0,2020-03-24
AC,2,0,2020-03-25
AL,1,0,2020-03-25
AM,7,0,2020-03-25
AP,1,0,2020-03-25
BA,12,0,2020-03-25
CE,26,0,2020-03-25
DF,34,0,2020-03-25
ES,0,0,2020-03-25
GO,3,0,2020-03-25
MA,0,0,2020-03-25
MG,3,0,2020-03-25
MS,0,0,2020-03-25
MT,2,0,2020-03-25
PA,2,0,2020-03-25
PB,2,0,2020-03-25
PE,3,1,2020-03-25
PI,1,0,2020-03-25
PR,28,0,2020-03-25
RJ,67,2,2020-03-25
RN,0,0,2020-03-25
RO,0,0,2020-03-25
RR,0,0,2020-03-25
RS,51,1,2020-03-25
SC,14,0,2020-03-25
SE,1,0,2020-03-25
SP,483,39,2020-03-25
TO,0,0,2020-03-25
AC,0,0,2020-03-26
AL,0,0,2020-03-26
AM,13,0,2020-03-26
AP,0,0,2020-03-26
BA,13,0,2020-03-26
CE,28,3,2020-03-26
DF,0,0,2020-03-26
ES,8,0,2020-03-26
GO,6,1,2020-03-26
MA,2,0,2020-03-26
MG,17,0,2020-03-26
MS,1,0,2020-03-26
MT,2,0,2020-03-26
PA,6,0,2020-03-26
PB,1,0,2020-03-26
PE,2,1,2020-03-26
PI,0,0,2020-03-26
PR,9,0,2020-03-26
RJ,51,1,2020-03-26
RN,5,0,2020-03-26
RO,1,0,2020-03-26
RR,2,0,2020-03-26
RS,29,0,2020-03-26
SC,28,1,2020-03-26
SE,0,0,2020-03-26
SP,200,10,2020-03-26
TO,1,0,2020-03-26
AC,2,0,2020-03-27
AL,1,0,2020-03-27
AM,14,0,2020-03-27
AP,1,0,2020-03-27
BA,22,0,2020-03-27
CE,45,0,2020-03-27
DF,40,0,2020-03-27
ES,6,0,2020-03-27
GO,6,0,2020-03-27
MA,3,0,2020-03-27
MG,36,0,2020-03-27
